Idx,prompts,domain_sequence,domain_count
42,"A friend of yours was recently diagnosed with a type of collagen vascular disease. You want to find out more about the condition and what impact it may have on your friend's lifestyle, particularly whether they can continue to play sport.","www.google.com, www.medicoverhospitals.in, www.webmd.com",3
43,"For your vacation, you want to go on a road trip. You would like to know what makes a road trip enjoyable as opposed to a boring road trip. Find web pages that will help you plan a good road trip.","roadfood.com, www.google.com",2
44,You are shopping for an internet phone service. You want to know determine what makes an internet phone service great. Find web pages that will help you make a decision.,"www.allconnect.com, www.top10.com, topvoipsolution.com, www.pcmag.com",4
45,"For an article you're writing, you need to find information to help you argue whether the US government should reduce its spending on space exploration or not. Find web pages that will help support your argument.","netivist.org, interestingengineering.com, www.scientificamerican.com, news.northeastern.edu",4
46,You have just read that setting a target for percentage of new women employees and minority employees may be a good idea for a company. You want to understand if this is true. Find web pages that will help you understand arguments in favor of and against this policy.,"www.gendereconomy.org, thecrankycreative.com, perkinscoie.com, www.sixdegreesexecutive.com.au, www.law.berkeley.edu",5
47,What are some traditional Swahili dishes? What ingredients do they use to cook them? Are swahili people using any particular herb in their dishes? Could you find these ingredients in your country? Are there any recipes you can find online?,"africageographic.com, swahilimagic.com, www.tuko.co.ke",3
48,You have just been promoted to manager. You are looking for information about the best way to evaluate your employees. Find web pages that will help you perform employee evaluations.,"www.hibob.com, www.upwork.com, peoplemanagingpeople.com, www.youtube.com, www.google.com, www.trakstar.com, www.peoplebox.ai",7
49,How do water turbines work? What are the different types of water turbines? How are these different types related to Newton's second and third laws? Which type of turbine is more efficient in the production of hydroelectricity? Could Hydroelectric power replace fossil fuels and what is the cost per kWh? What are the environmental impacts? Is hydroelectric power really clean?,"en.wikipedia.org, electricalacademia.com, www.sciencedirect.com, www.google.com, energysavingslab.com",5
50,"What are the effects of the ongoing Eurozone crisis on national economic indicators such as unemployment, GDP, public debt, etc? Find documents that will help you compare and contrast different countries and some of the reasons for differences (and similarities) between them.","www.ecb.europa.eu, accountinginsights.org, www.jpmorgan.com, link.springer.com",4
51,Where is Port Arthur? When did the massacre occur? What was the final death toll of the massacre? Who was the killer? What was the killer's nationality? What were the names of the victims? What were the nationalities of the victims?,"en.wikipedia.org, www.news.com.au, www.bbc.com, www.google.com, www.nma.gov.au, www.australiangeographic.com.au",6
52,"You have just received two job offers, one in the US and the other in the UK. In order to choose where to go, you resort to comparing the health care and social security systems of both countries and choose the one that' best for workers. Find web pages about the two countries' ""safety nets"".","www.google.com, www.usa.gov, www.nhs.uk",3
53,Suppose you are an employee at a US non-profit organization. You are trying to decide whether to contribute money to your employer-offered 403(b) retirement plan or to a personal IRA (Individual Retirement Account). Find resources that could help you decide which is best for your needs.,"smartasset.com, www.westernsouthern.com, www.investopedia.com, www.finder.com, www.financestrategists.com, finance.yahoo.com",6
54,When was the Connecticut Fire Academy established? Where is it located? How long is the curriculum? Do firemen have to refurbish their skills at the academy periodically? How many graduates are there each year?,"portal.ct.gov, www.1strespondernews.com, slatepages.com",3
55,"You are applying for a job at JP Morgan Chase as a computational scientist. You want to get ready for the interview by learning about their data centers, the locations of their data centers, the investment made on the data centers, where is their largest data center, how their data centers compare to Google, Microsoft and Facebook's data centers.","baxtel.com, www.google.com, www.networkworld.com, www.datacentermap.com, www.jpmorgan.com",5
56,"You are writing a summary article about the Pocono Mountains region. Find as many relevant articles as you can describing the region, things to see and do there (such as national parks, resorts, shopping, etc), and communities of people living there.","vacationidea.com, www.poconomountains.com, www.planetware.com",3
57,"Lara Dutta of India was crowned Miss Universe in 2000, and between 1994 and 2000 women from India won two Miss Universe competitions, four Miss World competitions, and many less well-known competitions. To what extent can decisions and policies of the Indian government be credited with these wins?","thefederal.com, www.theculturegully.in, www.jstor.org, journals.sagepub.com, www.indiatoday.in, www.latimes.com, en.wikipedia.org",7
58,You are a principal of a high school. You wish to decide whether to emphasize teacher peer evaluation or teachers' evaluation by students. You need information about advantages and disadvantages of each option. Find web pages about their relative benefits.,"www.ipl.org, www.blog.intedashboard.com, sites.williams.edu, paulgmoss.com, kimberlypaez.wordpress.com",5
59,You are planning a trip to Philadelphia. What are some things to see and do within 150 miles accessible by train or car?,"www.nps.gov, www.philamuseum.org, readingterminalmarket.org, fi.edu",4
60,You would like to donate money to charities that fights either HIV/AIDS or malaria in Africa. Your preference is to donate to charities that fight the disease (either HIV/AIDS or malaria) that mostly negatively impacts the economy of African countries. Find information about those charities.,"microfinancingafrica.org, nonprofitpoint.com, socialimpactguide.com, aidforafrica.org, aidswatchafrica.org",5
