Idx,prompts,domain_sequence,domain_count,reconstructed_prompt,sbert_similarity,llm_judge_similarity,original_prompt_triplets,reconstructed_prompt_triplets,obels_functional_equivalence,obels_domain_type_equivalence,obels_semantic_equivalence,obels_entity_granularity_tolerance
11,Do infants age 0-12 months experience different developmental milestones depending on culture?,"onlinelibrary.wiley.com, pmc.ncbi.nlm.nih.gov, babywhysandhows.com",3.0,"""What are the latest scientific findings on infant development and parenting techniques? Are there any new studies or insights on how to best support a baby's growth and well-being?""",0.4458808898925781,0.4,"[
  (""learn"", ""developmental_milestones"", ""infants 0-12 months""),
  (""analyze"", ""cultural_influence"", ""developmental milestones"")
]","[
  (""learn"", ""scientific_findings"", ""infant development""),
  (""learn"", ""scientific_findings"", ""parenting techniques""),
  (""get_info"", ""studies"", ""support a baby's growth and well-being"")
]",0.8,0.8,0.6,0.7
12,"You would like to write a report about interesting weddings traditions of different cultures, religions, and ethnic groups. Find information about wedding ceremonies that you think are the most fascinating and different than what you are used to.","www.brides.com, khushmag.com, www.theknot.com, www.vogue.com, www.thetravel.com",5.0,"""What are the latest trends in destination weddings? Which locations are considered the most fashionable for weddings? What are some popular bridal fashion trends and styles?""",0.496211975812912,0.1,"[
  (""learn"", ""wedding_traditions"", ""different cultures, religions, and ethnic groups""),
  (""get_info"", ""wedding_ceremonies"", ""most fascinating and different"")
]","[
  (""learn"", ""wedding_trends"", ""destination weddings""),
  (""explore"", ""wedding_locations"", ""fashionable wedding locations""),
  (""learn"", ""bridal_fashion"", ""popular bridal fashion trends and styles"")
]",0.8,0.6,0.5,0.7
13,"France won its first (and only) World Cup in 1998. Find information about the reaction of French people and institutions (such as stock markets), and studies about these reactions.","en.wikipedia.org, www.google.com, copilot.microsoft.com, theworld.org, www.youtube.com",5.0,"""What is Microsoft Copilot? How does it integrate with other software? Are there any tutorials or videos available to understand its features and functionalities?""",-0.006116691045463085,0.0,"[
  (""get_info"", ""event"", ""1998 World Cup""),
  (""analyze"", ""reaction"", ""French people""),
  (""analyze"", ""reaction"", ""French institutions""),
  (""analyze"", ""reaction"", ""stock markets""),
  (""learn"", ""study"", ""reactions to 1998 World Cup"")
]","[
  (""learn"", ""software"", ""Microsoft Copilot""),
  (""analyze"", ""integration"", ""Microsoft Copilot with other software""),
  (""explore"", ""tutorials"", ""Microsoft Copilot features and functionalities""),
  (""explore"", ""videos"", ""Microsoft Copilot features and functionalities"")
]",0.2,0.2,0.0,0.0
14,"For a philosophy assignment, you need to compare evidence that supports the existence of God to evidence that supports the naturalism theory, and infer whether God exists or not. Find web pages to help support your argument.","www.cslewisinstitute.org, plato.stanford.edu, www.reasonablefaith.org, www.google.com, bigthink.com",5.0,"""What are the main philosophical arguments for and against the existence of God? How do contemporary philosophers and theologians approach these arguments?""",0.6357990503311157,0.5,"[
  (""compare"", ""philosophy"", ""evidence for the existence of God""),
  (""compare"", ""philosophy"", ""evidence for naturalism theory""),
  (""analyze"", ""philosophy"", ""existence of God""),
  (""get_info"", ""web pages"", ""supporting arguments for existence of God and naturalism"")
]","[
  (""explore"", ""philosophy"", ""arguments for and against the existence of God""),
  (""analyze"", ""philosophy"", ""contemporary approaches by philosophers and theologians"")
]",0.8,1.0,0.5,0.6
15,"For economic reasons, you wish to switch from regular phones to internet phone services. You want to know: the best internet phone services, the cheapest internet phone services, the providers of VOIP internet phone services, features that great VOIP services have, providers that offer free calls from the US to some European countries, expert reviews about VOIP providers.","www.google.com, www.pcmag.com, www.techradar.com, www.tomsguide.com, www.cnet.com, www.digitaltrends.com, support.microsoft.com, ell.stackexchange.com",8.0,"""How can I troubleshoot and fix common issues with Windows operating systems? What are the best resources for learning about the latest tech trends and reviews?""",0.06602582335472107,0.0,"[
    (""explore"", ""internet_phone_services"", ""best internet phone services""),
    (""compare"", ""internet_phone_services"", ""cheapest internet phone services""),
    (""get_info"", ""VOIP_providers"", ""providers of VOIP internet phone services""),
    (""learn"", ""VOIP_features"", ""features that great VOIP services have""),
    (""explore"", ""VOIP_providers"", ""providers that offer free calls from the US to some European countries""),
    (""evaluate"", ""VOIP_providers"", ""expert reviews about VOIP providers"")
]","[
  (""analyze"", ""operating_system"", ""Windows""),
  (""learn"", ""tech_trends"", ""latest tech trends""),
  (""get_info"", ""tech_reviews"", ""tech reviews"")
]",0.2,0.2,0.0,0.0
16,"In your attempt to get fit, you are looking for information on what possibilities (types of physical exercises, diets, etc...) will help you achieve your fitness goal. Find web pages about different weight loss possibilities.","www.cdc.gov, www.who.int, www.healthline.com, www.google.com",4.0,"""What are the symptoms, causes, and prevention methods for the flu? How does the flu differ from a common cold, and what are the recommended guidelines for vaccination?""",0.23097606003284454,0.0,"[
  (""explore"", ""fitness"", ""physical exercises""),
  (""explore"", ""fitness"", ""diets""),
  (""get_info"", ""web_pages"", ""weight loss possibilities"")
]","[
  (""learn"", ""symptom"", ""flu""),
  (""analyze"", ""cause"", ""flu""),
  (""explore"", ""prevention_method"", ""flu""),
  (""compare"", ""illness"", ""flu and common cold""),
  (""summarize"", ""guideline"", ""vaccination for flu"")
]",0.0,0.0,0.0,0.0
17,A friend has been complaining for months that she is unhappy with her life. She has also mentioned that she can't easily sleep at nights. You think that she may be suffering from depression. You want to understand if this is the case and how you could assist her in getting some help from medical professionals.,"www.mayoclinic.org, psychcentral.com, www.healthline.com, my.clevelandclinic.org, www.helpguide.org",,"""What are the symptoms and treatment options for anxiety disorders? How can I manage anxiety effectively using both medical and lifestyle approaches?""",0.32095009088516235,0.3,"[
  (""analyze"", ""symptom"", ""depression""),
  (""learn"", ""treatment_method"", ""assistance from medical professionals"")
]","[
  (""learn"", ""symptom"", ""anxiety disorders""),
  (""learn"", ""treatment_method"", ""anxiety disorders""),
  (""explore"", ""management_approaches"", ""anxiety""),
  (""analyze"", ""management_approaches"", ""medical""),
  (""analyze"", ""management_approaches"", ""lifestyle"")
]",0.8,0.8,0.5,0.6
18,Pseudocyesis is the appearance of clinical and/or subclinical signs and symptoms associated with pregnancy when the organism is not actually pregnant. What are the recent advances in understanding the causes of this disorder?,"journaljammr.com, www.google.com, pmc.ncbi.nlm.nih.gov, scholar.google.com, link.springer.com",5.0,"""What are the latest research findings on the medical benefits and potential side effects of a specific treatment or medication? Please find peer-reviewed articles and scientific studies on this topic.""",0.19449231028556824,0.0,"[
  (""learn"", ""medical_condition"", ""pseudocyesis""),
  (""analyze"", ""medical_condition"", ""causes of pseudocyesis"")
]","[
  (""learn"", ""treatment_method"", ""medical benefits and potential side effects""),
  (""get_info"", ""academic_field"", ""peer-reviewed articles and scientific studies"")
]",0.5,0.5,0.4,0.6
19,You are planning a winter vacation to the Pocono Mountains region in Pennsylvania in the US. Where will you stay? What will you do while there? How will you get there?,"www.poconomountains.com, lindaontherun.com, thefrenchmanor.com, www.phillymag.com",4.0,"""What are some recommended bed and breakfast options in the Pocono Mountains area? Are there any unique or luxurious accommodations? What activities or attractions are available nearby?""",0.6093202829360962,0.9,"[
  (""plan"", ""travel"", ""Pocono Mountains region in Pennsylvania""),
  (""get_info"", ""accommodation"", ""places to stay in Pocono Mountains""),
  (""explore"", ""activities"", ""things to do in Pocono Mountains""),
  (""get_info"", ""transportation"", ""how to get to Pocono Mountains"")
]","[
  (""explore"", ""accommodation"", ""bed and breakfast options in the Pocono Mountains""),
  (""explore"", ""accommodation"", ""unique or luxurious accommodations""),
  (""explore"", ""attractions"", ""activities or attractions nearby"")
]",0.8,0.8,0.7,0.9
20,"You have decided that you want to reduce the use of air conditioning in your house. You've thought that if you could protect the roof being overly hot due to sun exposure, you could keep the house temperature low without the excessive use of air conditioning. Find information of whether this is possible and how it could be done.","www.wikihow.com, home.howstuffworks.com, thetopekaroofers.com, www.google.com",4.0,"""How do I repair a leaky roof? What are the steps involved in fixing roof leaks, and what materials will I need?""",0.26266422867774963,0.2,"[
  (""learn"", ""home_improvement"", ""reduce air conditioning use""),
  (""get_info"", ""roof_insulation"", ""protect roof from sun exposure""),
  (""explore"", ""cooling_methods"", ""keep house temperature low"")
]","[
  (""learn"", ""home_repair"", ""leaky roof repair""),
  (""plan"", ""home_repair"", ""steps to fix roof leaks""),
  (""explore"", ""home_repair"", ""materials needed for roof repair"")
]",0.5,0.8,0.4,0.6
