Idx,prompts,domain_sequence,domain_count
38,"Suppose you are a high school student looking to apply for a State University of New York (SUNY) college. You desire to know how many SUNY colleges there are and their names, which ones offer a bioinformatics degree, which ones offer athletic scholarships, which ones offer international student scholarships, where is SUNY Albany hospital located, reports of SUNY Plattsburgh athletics.","www.suny.edu, tags.srv.stackadapt.com, www.oldwestbury.edu, rsms.me, www.brockport.edu, www.youtube.com",6
39,What are the causes of the ongoing Eurozone crisis? What are some of the possible long-term effects? How are political and financial leaders responding to it?,"en.wikipedia.org, upload.wikimedia.org, www.investopedia.com, assets-jpcust.jwpsrv.com, btloader.com, ak.sail-horizon.com, g.3gl.net, aim-tag.hcn.health, content.jwplatform.com, tru.am, www.medtargetsystem.com, d9.flashtalking.com",12
40,"What are typical developmental milestones for infants age 0-12 months in East Asian countries (for example, China, South Korea, Japan, Thailand, etc)","dev.radiate.sanuker.com, www.heephong.org, www.youtube.com, webchat.stellabot.com, www.jpeds.com, crossmark.crossref.org, pubmed.ncbi.nlm.nih.gov, www.ncbi.nlm.nih.gov, dap.digitalgov.gov, www.unicef.org",10
41,"As a young information technology entrepreneur, you are looking for information about how to succeed in your new venture. Find web pages that will help you make good decisions running your business.","load.sumome.com, c03.s3.indeed.com, prod.statics.indeed.com, www.indeed.com, www.youtube.com, www.business.com, www.entrepreneur.com, cmp.osano.com, ml314.com, aam.a47b.com",10
42,"A friend of yours was recently diagnosed with a type of collagen vascular disease. You want to find out more about the condition and what impact it may have on your friend's lifestyle, particularly whether they can continue to play sport.","www.icliniq.com, dev.visualwebsiteoptimizer.com, client.crisp.chat, pmc.ncbi.nlm.nih.gov, dap.digitalgov.gov, www.ahajournals.org, badges.altmetric.com, crossmark.crossref.org",8
43,"For your vacation, you want to go on a road trip. You would like to know what makes a road trip enjoyable as opposed to a boring road trip. Find web pages that will help you plan a good road trip.","tripmemos.com, www.booking.com, faves.grow.me, form.flodesk.com, get.s-onetag.com, d9.flashtalking.com, code.getmdl.io, pbs-raptive-us.ay.delivery, prebid.production.adthrive.com, agent.intentiq.com, pghub.io, vast.doubleverify.com, vpaid.doubleverify.com, g2.gumgum.com, htlb.casalemedia.com, www.headout.com, secure.gravatar.com, unpkg.com, ssl.widgets.webengage.com, zc2ab2dd0.webengage.co, wsdk-files.webengage.com, www.theroadtripexpert.com, m.media-amazon.com, exchange.mediavine.com, storage.cloud.kargo.com, cache-ssl.celtra.com, pix.adrta.com, groundcontrol.rendering.sharethrough.com, a-iad3.1rx.io, sync.1rx.io, t.servedbyivo.com, c.servedbyivo.com, eqt-gc.rendering.sharethrough.com, www.focusonyourchild.com, btloader.com",35
44,You are shopping for an internet phone service. You want to know determine what makes an internet phone service great. Find web pages that will help you make a decision.,"display.popt.in, top5voipproviders.com, www.zoom.com, media.zoom.com, zoom.us, tag.demandbase.com, s.yimg.jp, collector-29673.us.tvsquared.com, t.contentsquare.net",9
45,"For an article you're writing, you need to find information to help you argue whether the US government should reduce its spending on space exploration or not. Find web pages that will help support your argument.","www.nasa.gov, dap.digitalgov.gov, science.nasa.gov, www.youtube.com, g1.nyt.com, news.northeastern.edu, northeastern.tt.omtrdc.net, www.aaas.org, cmp.osano.com, weby.aaas.org",10
46,You have just read that setting a target for percentage of new women employees and minority employees may be a good idea for a company. You want to understand if this is true. Find web pages that will help you understand arguments in favor of and against this policy.,"www.jobboardfinder.com, www.sixdegreesexecutive.com.au, sidebar.bugherd.com, social-hire.com, social-hire-com.disqus.com, sc.lfeeder.com, load.sumome.com, disqus.com, load.collect.chat, sumome.com, media.sumome.com, www.imd.org, ob.brilliantlocco.com, try.abtasty.com",14
47,What are some traditional Swahili dishes? What ingredients do they use to cook them? Are swahili people using any particular herb in their dishes? Could you find these ingredients in your country? Are there any recipes you can find online?,"africageographic.com, ukuri.travel, htlbid.com, bidpapers.com, www.tuko.co.ke, cmp.inmobi.com, edge.aditude.io, comments.tuko.co.ke, www.youtube.com, syndicatedsearch.goog, raven-edge.aditude.io, onesignal.com, linguafonica.com",13
48,You have just been promoted to manager. You are looking for information about the best way to evaluate your employees. Find web pages that will help you perform employee evaluations.,"www.hibob.com, lp.shrm.org, www.shrm.org, s7d9.scene7.com, cds.elements.video, pub.doubleverify.com, cds.connatix.com, d.email.forbes.com, www.forbes.com, forbes.blueconic.net, ml314.com, kps2yp94aqw5yi5d2.ay.delivery, hbr.org, ak.sail-horizon.com, buy.tinypass.com, embed-player.newsoveraudio.com, c2.piano.io, tags.srv.stackadapt.com, prod.statics.indeed.com, c03.s3.indeed.com",20
49,How do water turbines work? What are the different types of water turbines? How are these different types related to Newton's second and third laws? Which type of turbine is more efficient in the production of hydroelectricity? Could Hydroelectric power replace fossil fuels and what is the cost per kWh? What are the environmental impacts? Is hydroelectric power really clean?,"www.elprocus.com, www.energy.gov, dap.digitalgov.gov, www.thepricer.org, thepricer.org, a.ad.gt, p.ad.gt, eqt-gc.rendering.sharethrough.com, ap.lijit.com, htlb.casalemedia.com, onetag-sys.com, btlr.sharethrough.com, groundcontrol.rendering.sharethrough.com, pghub.io, www.eia.gov, search.usa.gov",16
50,"What are the effects of the ongoing Eurozone crisis on national economic indicators such as unemployment, GDP, public debt, etc? Find documents that will help you compare and contrast different countries and some of the reasons for differences (and similarities) between them.","www.ecb.europa.eu, www2.deloitte.com, s.go-mpulse.net, deloitte-com-prod.es.northeurope.azure.elastic-cloud.com, deloittetouchetohmat.tt.omtrdc.net, www.deloitte.com, media.deloitte.com, economictimes.indiatimes.com, img.etimg.com, timesofindia.indiatimes.com, screener.indiatimes.com, slike-i.akamaized.net, cpl.sli.ke, mcxlivefeeds.indiatimes.com, survey.survicate.com, tvid.in, offers.indiatimes.com, www.artfut.com, www.oecd.org, static-p53839-e349852.adobeaemcloud.com, dev.visualwebsiteoptimizer.com, client.px-cloud.net, www.bbc.com, emp.bbci.co.uk, ichef.bbci.co.uk, c2-eu.piano.io, prebid.the-ozone-project.com, browser.covatic.io, pub.doubleverify.com, aka.clipcentric.com, mobile-cvc-nv-bbc-web.covatic.io",31
51,Where is Port Arthur? When did the massacre occur? What was the final death toll of the massacre? Who was the killer? What was the killer's nationality? What were the names of the victims? What were the nationalities of the victims?,"engage.email.britannica.com, www.britannica.com, d9.flashtalking.com, code.getmdl.io, ic.ortto.app, pghub.io, e.infogram.com, s.infogram.com, displayf-tm.everesttech.net, themes.jifo.co, branding.jifo.co, playtime.tubemogul.com, images.jifo.co, live-data.jifo.co, www.findagrave.com, images.findagrave.com, fuelinspector.com, btloader.com, a.ad.gt, p.ad.gt",20
52,"You have just received two job offers, one in the US and the other in the UK. In order to choose where to go, you resort to comparing the health care and social security systems of both countries and choose the one that' best for workers. Find web pages about the two countries' ""safety nets"".","www.ispor.org, www.longtermplan.nhs.uk, commonslibrary.parliament.uk",3
53,Suppose you are an employee at a US non-profit organization. You are trying to decide whether to contribute money to your employer-offered 403(b) retirement plan or to a personal IRA (Individual Retirement Account). Find resources that could help you decide which is best for your needs.,"secure.gravatar.com, smartasset.com, mapixl.com, c.pmsrv.co, s.axon.ai, captivate.smartasset.com, res4.applovin.com, www.westernsouthern.com, tags.srv.stackadapt.com, www.financestrategists.com, rum.corewebvitals.io, widgets.leadconnectorhq.com, d9.flashtalking.com, code.getmdl.io, exchange.postrelease.com, prebid.production.adthrive.com, pbs-raptive-us.ay.delivery, assets-jpcust.jwpsrv.com, pghub.io, m.media-amazon.com, htlb.casalemedia.com, s.ntv.io, cache-ssl.celtra.com, enrichest.com",24
54,When was the Connecticut Fire Academy established? Where is it located? How long is the curriculum? Do firemen have to refurbish their skills at the academy periodically? How many graduates are there each year?,"portal.ct.gov, egov.ct.gov, www.1strespondernews.com, www.fox61.com, media.tegna-media.com, hospitablehall.com, www.youtube.com, native.sharethrough.com, sync.getpublica.com, htlbid.com",10
55,"You are applying for a job at JP Morgan Chase as a computational scientist. You want to get ready for the interview by learning about their data centers, the locations of their data centers, the investment made on the data centers, where is their largest data center, how their data centers compare to Google, Microsoft and Facebook's data centers.","www.datacenterdynamics.com, media.datacenterdynamics.com, datacenterdynamics.disqus.com, ml314.com, disqus.com, j.6sc.co, www.jpmorgan.com, www.chase.com, s.go-mpulse.net, www.networkworld.com, cmpv2.networkworld.com, functions.adnami.io, macro.adnami.io, s.ntv.io, mau.idgesg.net, tags.srv.stackadapt.com, jadserve.postrelease.com, tribl.io, t1.networkworld.com, assets-jpcust.jwpsrv.com, qz.com, y54f5ku6etsma2cwk.ay.delivery, pbs.nextmillmedia.com, pitchbook.com, pym.nprapps.org, servedbyadbutler.com",26
56,"You are writing a summary article about the Pocono Mountains region. Find as many relevant articles as you can describing the region, things to see and do there (such as national parks, resorts, shopping, etc), and communities of people living there.","www.poconomountains.com, unpkg.com, player.vimeo.com, tags.srv.stackadapt.com, collector-51300.us.tvsquared.com, www.youtube.com, adsdk.microsoft.com, btloader.com, d9.flashtalking.com, creative-p.undertone.com, www.vrbo.com, pix10.agoda.net, www.poconosrealestate.com, login.ultraagent.com, www.emailmeform.com, developer.livehelpnow.net, widgetbe.com",17
57,"Lara Dutta of India was crowned Miss Universe in 2000, and between 1994 and 2000 women from India won two Miss Universe competitions, four Miss World competitions, and many less well-known competitions. To what extent can decisions and policies of the Indian government be credited with these wins?","www.indiatimes.com, timesofindia.indiatimes.com, im.indiatimes.in, frontend-api-navik.indiatimes.com, ade.clmbtech.com, player.aniview.com, economictimes.indiatimes.com, img.etimg.com, json.bselivefeeds.indiatimes.com, offers.indiatimes.com, www.artfut.com, www.theculturegully.in, www.jstor.org, client.px-cloud.net, uscpublicdiplomacy.org, www.firstpost.com, images.firstpost.com, media.nw18.com, staticcdp.nw18.com, d9.flashtalking.com",20
58,You are a principal of a high school. You wish to decide whether to emphasize teacher peer evaluation or teachers' evaluation by students. You need information about advantages and disadvantages of each option. Find web pages about their relative benefits.,"paulgmoss.com, www.blog.intedashboard.com, 6182127.hs-sites.com, www.intedashboard.com, www.gse.harvard.edu",5
59,You are planning a trip to Philadelphia. What are some things to see and do within 150 miles accessible by train or car?,"imgcap.capturetheatlas.com, capturetheatlas.com, www.nextinsure.com, www.amtrak.com, faves.grow.me, btloader.com, pghub.io, exchange.mediavine.com, m.media-amazon.com, images-na.ssl-images-amazon.com, www.planetware.com, groundcontrol.rendering.sharethrough.com, storage.cloud.kargo.com, d9.flashtalking.com",14
60,You would like to donate money to charities that fights either HIV/AIDS or malaria in Africa. Your preference is to donate to charities that fight the disease (either HIV/AIDS or malaria) that mostly negatively impacts the economy of African countries. Find information about those charities.,"privacy-proxy.usercentrics.eu, www.one.org, act.one.org, one.actionkit.com, malariajournal.biomedcentral.com, cmp.biomedcentral.com, sgtm.biomedcentral.com, nonprofitpoint.com, faves.grow.me, exchange.journeymv.com, player.aniview.com, pghub.io, onetag-sys.com, obs.cheqzone.com, aidforafrica.org, africanchildrenshaven.org",16
