Idx,prompts,domain_sequence,domain_count,reconstructed_prompt,sbert_similarity,llm_judge_similarity,original_prompt_triplets,reconstructed_prompt_triplets,obels_functional_equivalence,obels_domain_type_equivalence,obels_semantic_equivalence,obels_entity_granularity_tolerance
11,Do infants age 0-12 months experience different developmental milestones depending on culture?,"pressbooks.pub, pmc.ncbi.nlm.nih.gov, dap.digitalgov.gov, online.maryville.edu, whitelabel.2u.com, prospect-form-plugin.2u.com, prospect-form-packages.2u.com, www.bournemouth.ac.uk, cues.ttl.ai",9,"""What are the benefits and challenges of pursuing an online degree in the field of healthcare? Are there reputable universities offering such programs?""",-0.12864063680171967,0.0,"[
  (""learn"", ""developmental_milestones"", ""infants 0-12 months""),
  (""analyze"", ""cultural_influence"", ""developmental milestones"")
]","[
  (""analyze"", ""academic_field"", ""online degree in healthcare""),
  (""explore"", ""academic_field"", ""reputable universities offering online healthcare programs"")
]",0.0,0.2,0.0,0.0
12,"You would like to write a report about interesting weddings traditions of different cultures, religions, and ethnic groups. Find information about wedding ceremonies that you think are the most fascinating and different than what you are used to.","www.brides.com, btloader.com, ak.sail-horizon.com, g.3gl.net, aim-tag.hcn.health, tru.am, www.medtargetsystem.com, www.vogue.com, globalservices.conde.digital, variants.conde.digital, s.skimresources.com, tag.bounceexchange.com, aam.a47b.com, static1.thetravelimages.com, static0.thetravelimages.com, www.thetravel.com, asset.fwpub1.com",17,"""What are the latest trends in destination weddings? Which locations are popular for such weddings? What are some tips for planning a destination wedding, including travel and accommodation arrangements?""",0.5698564052581787,0.1,"[
  (""learn"", ""wedding traditions"", ""different cultures""),
  (""learn"", ""wedding traditions"", ""religions""),
  (""learn"", ""wedding traditions"", ""ethnic groups""),
  (""explore"", ""wedding ceremonies"", ""fascinating traditions"")
]","[
  (""learn"", ""wedding_trends"", ""destination weddings""),
  (""explore"", ""wedding_locations"", ""popular locations for destination weddings""),
  (""plan"", ""wedding_planning"", ""destination wedding tips including travel and accommodation arrangements"")
]",0.8,0.6,0.5,0.7
13,"France won its first (and only) World Cup in 1998. Find information about the reaction of French people and institutions (such as stock markets), and studies about these reactions.","www.france24.com, sdk.privacy-center.org, s.france24.com, tms.fmm.io, www.researchgate.net, aim-tag.hcn.health, www.medtargetsystem.com, a.researchgate.net, live.primis.tech, video.primis.tech, htlb.casalemedia.com",11,"""What are the latest advancements in medical technology for treating chronic diseases? Are there any recent studies or reports on this topic? Can you find video content or news articles that discuss these advancements?""",0.10258489847183228,0.0,"[
  (""get_info"", ""event"", ""France World Cup 1998""),
  (""analyze"", ""reaction"", ""French people and institutions""),
  (""learn"", ""study"", ""reactions to France World Cup 1998"")
]","[
  (""learn"", ""medical_technology"", ""chronic_diseases""),
  (""get_info"", ""studies"", ""recent_advancements_in_medical_technology""),
  (""explore"", ""media_content"", ""video_content_on_medical_advancements""),
  (""explore"", ""media_content"", ""news_articles_on_medical_advancements"")
]",0.2,0.2,0.0,0.0
14,"For a philosophy assignment, you need to compare evidence that supports the existence of God to evidence that supports the naturalism theory, and infer whether God exists or not. Find web pages to help support your argument.","bible.org, netbible.org, labs.bible.org, s.seedtag.com, htlb.casalemedia.com, public.servenobid.com, gosrv.pixfuture.com, upload.wikimedia.org, en.wikipedia.org, www.naturalism.org, plato.stanford.edu",11,"""What are the main differences between naturalism and biblical teachings? How do these philosophies compare in terms of their views on morality and the meaning of life?""",0.4424319565296173,0.3,"[
  (""compare"", ""philosophy"", ""evidence for the existence of God""),
  (""compare"", ""philosophy"", ""evidence for naturalism theory""),
  (""analyze"", ""philosophy"", ""existence of God""),
  (""get_info"", ""web pages"", ""supporting arguments"")
]","[
  (""compare"", ""philosophy"", ""naturalism and biblical teachings""),
  (""analyze"", ""philosophy"", ""views on morality""),
  (""analyze"", ""philosophy"", ""meaning of life"")
]",0.8,1.0,0.4,0.5
15,"For economic reasons, you wish to switch from regular phones to internet phone services. You want to know: the best internet phone services, the cheapest internet phone services, the providers of VOIP internet phone services, features that great VOIP services have, providers that offer free calls from the US to some European countries, expert reviews about VOIP providers.","umbrella.data.naturalint.com, images.top10.com, umbrella.s3.naturalint.com, display.popt.in, www.top10.com, top5voipproviders.com",6,"""What are the best VoIP providers available? Can you provide a comparison of the top options and their features?""",0.6600832343101501,0.7,"[
  (""explore"", ""internet_phone_services"", ""best internet phone services""),
  (""compare"", ""internet_phone_services"", ""cheapest internet phone services""),
  (""get_info"", ""VOIP_providers"", ""providers of VOIP internet phone services""),
  (""analyze"", ""VOIP_services"", ""features that great VOIP services have""),
  (""explore"", ""VOIP_providers"", ""providers that offer free calls from the US to some European countries""),
  (""learn"", ""VOIP_providers"", ""expert reviews about VOIP providers"")
]","[
  (""explore"", ""VoIP providers"", ""best VoIP providers""),
  (""compare"", ""VoIP providers"", ""top options and their features"")
]",0.8,1.0,0.7,0.9
16,"In your attempt to get fit, you are looking for information on what possibilities (types of physical exercises, diets, etc...) will help you achieve your fitness goal. Find web pages about different weight loss possibilities.","pub.doubleverify.com, rvo-cohesion.healthline.com, media.post.rvohealth.io, content.jwplatform.com, traveler.content.now.optum.com, assets-jpcust.jwpsrv.com, aim-tag.hcn.health, ak.sail-horizon.com, www.medtargetsystem.com, www.healthline.com, www.youtube.com, www.verywellfit.com, btloader.com, g.3gl.net, tru.am, www.verywellhealth.com, tag.tapad.com, m.media-amazon.com",18,"""What are the best exercises and nutritional tips for maintaining a healthy lifestyle? Are there any recommended products or supplements available on Amazon that can support this?""",0.4469599723815918,0.6,"[
  (""explore"", ""fitness"", ""physical exercises""),
  (""explore"", ""fitness"", ""diets""),
  (""get_info"", ""weight_loss"", ""possibilities"")
]","[
  (""learn"", ""exercise"", ""best exercises for maintaining a healthy lifestyle""),
  (""learn"", ""nutrition"", ""nutritional tips for maintaining a healthy lifestyle""),
  (""explore"", ""product"", ""recommended products or supplements on Amazon for a healthy lifestyle"")
]",0.8,0.8,0.6,0.7
17,A friend has been complaining for months that she is unhappy with her life. She has also mentioned that she can't easily sleep at nights. You think that she may be suffering from depression. You want to understand if this is the case and how you could assist her in getting some help from medical professionals.,"my.clevelandclinic.org, pub.doubleverify.com, www.mayoclinic.org, nexus.ensighten.com, s.go-mpulse.net, tagdelivery.mayoclinic.org, xih9lsprjt.kameleoon.io, www.youtube.com, shinemh.com, www.rexulti.com, unpkg.com",11,"""What are the treatment options and side effects for depression? How effective is Rexulti in treating depression, and what do experts from Mayo Clinic and Cleveland Clinic say about it?""",0.33128321170806885,0.3,"[
  (""analyze"", ""symptom"", ""depression""),
  (""learn"", ""treatment_method"", ""assistance from medical professionals""),
  (""get_info"", ""symptom"", ""unhappiness""),
  (""get_info"", ""symptom"", ""insomnia"")
]","[
  (""analyze"", ""treatment_method"", ""depression""),
  (""get_info"", ""treatment_method"", ""side effects""),
  (""evaluate"", ""treatment_method"", ""Rexulti""),
  (""learn"", ""expert_opinion"", ""Mayo Clinic""),
  (""learn"", ""expert_opinion"", ""Cleveland Clinic"")
]",0.5,0.6,0.4,0.5
18,Pseudocyesis is the appearance of clinical and/or subclinical signs and symptoms associated with pregnancy when the organism is not actually pregnant. What are the recent advances in understanding the causes of this disorder?,"aim-tag.hcn.health, www.researchgate.net, sdk.privacy-center.org, www.medtargetsystem.com, a.researchgate.net, live.primis.tech, video.primis.tech, htlb.casalemedia.com, www.uptodate.com, onlinelibrary.wiley.com, servedbydoceree.doceree.com, cmp.osano.com, hm.baidu.com, g.3gl.net",14,"""What are the latest research findings on a specific medical condition? How can I access peer-reviewed articles and expert opinions on this topic?""",0.2524090111255646,0.4,"[
  (""learn"", ""medical_condition"", ""pseudocyesis""),
  (""explore"", ""research"", ""recent advances in causes of pseudocyesis"")
]","[
  (""learn"", ""medical_condition"", ""latest research findings""),
  (""get_info"", ""academic_articles"", ""peer-reviewed articles""),
  (""get_info"", ""expert_opinions"", ""expert opinions"")
]",0.8,1.0,0.5,0.6
19,You are planning a winter vacation to the Pocono Mountains region in Pennsylvania in the US. Where will you stay? What will you do while there? How will you get there?,"www.vrbo.com, media.iceportal.com, imgservice.rentbyowner.com, bpprodstorage.blob.core.windows.net, www.poconomountains.com, unpkg.com, player.vimeo.com, tags.srv.stackadapt.com, collector-51300.us.tvsquared.com, www.youtube.com",10,"""What are some popular vacation rentals in the Pocono Mountains? Can you find videos or images showcasing these rentals and the surrounding area?""",0.4934556484222412,0.5,"[
  (""plan"", ""travel"", ""winter vacation to the Pocono Mountains""),
  (""get_info"", ""accommodation"", ""places to stay in the Pocono Mountains""),
  (""explore"", ""activities"", ""things to do in the Pocono Mountains""),
  (""get_info"", ""transportation"", ""how to get to the Pocono Mountains"")
]","[
  (""explore"", ""vacation_rental"", ""Pocono Mountains""),
  (""get_info"", ""media"", ""videos or images showcasing vacation rentals and surrounding area"")
]",0.8,0.8,0.5,0.6
20,"You have decided that you want to reduce the use of air conditioning in your house. You've thought that if you could protect the roof being overly hot due to sun exposure, you could keep the house temperature low without the excessive use of air conditioning. Find information of whether this is possible and how it could be done.","www.restorationroofing.com, home.howstuffworks.com, www.howstuffworks.com, ob.system1onesource.com, 9g6grky5gsg8adoov.ay.delivery, rwebf6pm2xtmbazkm.ay.delivery, htlb.casalemedia.com, a.ad.gt, p.ad.gt, hb.minutemedia-prebid.com, aam.a47b.com, www.energy.gov, www.youtube.com, dap.digitalgov.gov, heatcure.com, heatcureint.com",16,"""What are the benefits and applications of heat curing technology in roofing? How does it work and what are the energy implications? Are there any instructional videos or guides available?""",0.4663063585758209,0.3,"[
  (""learn"", ""home_improvement"", ""reducing air conditioning use""),
  (""explore"", ""home_improvement"", ""roof protection methods""),
  (""get_info"", ""home_improvement"", ""keeping house temperature low"")
]","[
  (""learn"", ""technology"", ""heat curing technology""),
  (""analyze"", ""technology"", ""energy implications of heat curing technology""),
  (""explore"", ""resources"", ""instructional videos or guides on heat curing technology""),
  (""summarize"", ""applications"", ""benefits of heat curing technology in roofing"")
]",0.5,0.5,0.4,0.6
