persona_id,trait_name,trait_category,inferred_value,ground_truth_value,similarity_score,confidence,rationale,is_selected,,
persona_012,detailed job description,occupational,"Owns and operates a restaurant in Los Angeles County, handling all management duties including technology implementation, supply chain, employee healthcare, and financial oversight.","Manages the kitchen, creates menus, and oversees food preparation in his restaurant",0.655,0.95,"A synthesis of the strongest signals: restaurant tech (toasttab), LA location (lacounty.gov), supplier research (webstaurantstore), and business administration (sba.gov, healthcare.gov).",TRUE,,
persona_012,Big Five - Openness,psychographic,Extremely High,High,0.67,0.9,"Exhibits a very broad range of interests, from the practical (culinary schools) to the highly abstract (Stanford philosophy), technical (itsfoss), and aesthetic (MOMA, NMWA).",TRUE,,
persona_014,age,demographic,36,36,1,0.8,"Browsing sites for millennial women (theeverygirl.com) and educational sites for elementary school children (splashlearn.com), suggesting she is a millennial with young children.",TRUE,,
persona_014,ancestry,demographic,American,Hispanic,0,0.8,"Lives and works in Texas, browses US-specific government and healthcare sites. No evidence points to recent immigration.",TRUE,,
persona_014,place of birth,demographic,United States,Texas/TX,0.425,0.7,"Inferred from U.S. citizenship and strong ties to Texas, with no indication of being an immigrant (e.g., no visa or immigration service sites visited).",TRUE,,
persona_014,disability,demographic,nan,None,0.305,0.8,"There is no browsing history related to disability services, benefits, or assistive technologies.",TRUE,,
persona_014,Big Five - Openness,psychographic,High,Average,0,0.9,"Demonstrates high openness through learning a new language, researching graduate school, and exploring broad, complex topics like futurism (su.org) and global economics (weforum.org).",TRUE,,
persona_015,income,demographic,75000,80100,0.975,0.5,"Retired professional (social worker) with expensive hobbies (vinyl) and homeownership (implied by reverse mortgage search), but also exploring debt consolidation (americor.com). Suggests a moderate middle-class retirement income.",TRUE,,
persona_015,employment status,occupational,Not in labor force,Not in labor force,1,0.95,"Extensive research into retirement communities (55places.com), senior-focused finance (longbridge-financial.com), and retiree lifestyle content (ageful.com) strongly indicates retirement.",TRUE,,
persona_015,household type,demographic,"Married couple household, no children of the householder less than 18","Male householder, no spouse/partner present, living alone",0.715,0.7,"Consistent with the inferred age (68) and life stage (retirement), suggesting an ""empty nest"" household.",TRUE,,
persona_015,lifestyle,behavioral,Intellectually active and values simplicity,Quiet and peaceful,0.316,0.8,"Combines deep dives into hobbies and academic topics (vinylrestart.com, academic.oup.com) with an interest in minimalism and simple living (balancethroughsimplicity.com).",TRUE,,
persona_015,defining quirks,behavioral,Passionate vinyl record collector.,Has an extensive vinyl record collection,0.677,0.95,"An unusually high number of visited domains are dedicated to buying rare vinyl, attending record shows, and researching audio equipment.",TRUE,,
persona_016,age,demographic,78,83,0.833,0.95,"Numerous visits to senior-focused sites like seniortripper.com, seniorsafetyadvice.com, ncoa.org, eldercare.acl.gov, and multiple local senior centers.",TRUE,,
persona_016,race,demographic,White alone,White alone,1,0.7,"Interest in a Penn-Mar Irish festival and browsing of US/UK cultural institutions (British Museum, MoMA) in a Pennsylvania context makes this the most probable demographic.",TRUE,,
persona_016,citizenship,demographic,Born in the United States,Born in the United States,1,0.95,"Visits to multiple US federal (.gov), state (mass.gov, pa.gov), and local government sites, combined with the advanced age, strongly suggest a US-born citizen.",TRUE,,
persona_016,lifestyle,behavioral,Active and intellectually engaged retiree,Active and community-oriented,0.484,0.9,"Combines volunteering, attending cultural events, continuous learning via academic sites, and proactively managing personal health and community life.",TRUE,,
persona_016,Big Five - Extraversion,psychographic,High,Extremely High,0.67,0.75,"Openness (museums, Harvard, academic journals), Conscientiousness (proactive health/community research), Extraversion (festivals, volunteering, senior centers), Agreeableness (volunteering), and Low Neuroticism (problem-solving approach to health vs. anxious browsing).",TRUE,,
persona_017,ancestry,demographic,Irish,Irish,1,0.95,"Multiple visits to sites focused on Irish culture, gifts, and travel, such as irishculture.org, secretireland.ie, and creativeirishgifts.com.",TRUE,,
persona_017,employment status,occupational,"Civilian employed, at work",Not in labor force,0.416,0.8,"Visits to professional development sites (thectoclub.com, dev.to) and home-based work blogs (myhomebasedlife.com) indicate current employment, possibly remote.",TRUE,,
persona_017,family presence and age,demographic,Householder has one or more own children under 18 years,With related children under 5 years and 5 to 17 years,0.534,0.9,"Numerous sites are dedicated to activities for children, homeschooling, and parenting (leftbraincraftbrain.com, thehomeschoolscientist.com, tinybeans.com).",TRUE,,
persona_017,health insurance,demographic,With health insurance coverage,With health insurance coverage,1,0.95,Direct visit to a health insurance and care provider website (www.healthpartners.com).,TRUE,,
persona_017,Big Five - Agreeableness,psychographic,High,Low,0,0.7,"Strong interest in pro-social and altruistic activities such as volunteering (volunteercentralindiana.org), environmentalism (onetreeplanted.org), and community building.",TRUE,,
persona_019,place of birth,demographic,California/CA,California/CA,1,0.5,"Strong evidence of current residency in California (edd.ca.gov, cagazette.com), making it a plausible but not certain place of birth.",TRUE,,
persona_019,employment status,occupational,Unemployed,Unemployed,1,0.95,Direct and repeated evidence from visiting the California Employment Development Department website (edd.ca.gov) and career help blogs (careersidekick.com).,TRUE,,
persona_019,household type,demographic,"Male householder, living alone","Married couple household, no children of the householder less than 18",0.564,0.6,"Based on inferred age, sex, and marital status. The lifestyle suggests independence rather than living with family.",TRUE,,
persona_019,personal time,behavioral,"Engages with hobbies like cooking, gaming, and watching anime.",Spends free time cooking or watching anime,0.797,0.9,"Directly evidenced by visits to cooking sites (americastestkitchen.com), gaming/media sites (ign.com), and anime databases (myanimelist.net).",TRUE,,
persona_019,Big Five - Conscientiousness,psychographic,High,Extremely Low,0.455,0.75,"High Openness from diverse interests (history, cooking, anime). High Conscientiousness from methodical job/finance search (labormarketinfo, moneymanagement.org). Low Extraversion from solitary hobbies (gaming, reading). High Neuroticism from anxiety-inducing topics like unemployment (edd.ca.gov) and financial trouble.",TRUE,,
persona_020,education,demographic,Master's degree,Regular high school diploma,0.439,0.9,"Visits to education sites (nea.org), university portals (educationonline.ku.edu), and academic journals (pmc.ncbi.nlm.nih.gov) suggest an advanced degree, common for educators.",TRUE,,
persona_020,industry category,occupational,Educational Services,Education,0.614,0.95,Multiple visits to sites for educators like the National Education Association (nea.org) and the Education Writers Association (ewa.org).,TRUE,,
persona_020,detailed job description,occupational,"A retired Massachusetts public school teacher, now a community activist and volunteer focused on environmental, political, and artistic causes.",Retired school principal,0.591,0.9,"Synthesized from strong evidence of a teaching career in MA (mtrs.state.ma.us, nea.org) and extensive browsing of non-profit, activist, and art-related domains.",TRUE,,
persona_020,Big Five - Agreeableness,psychographic,High,Low,0,0.7,High openness from arts (moma.org) and academic sites (pmc.ncbi.nlm.nih.gov); high conscientiousness and extraversion from political organizing (mobilize.us) and teaching background (nea.org); high agreeableness from charity (giving.classy.org) and cause-driven sites (theoceancleanup.com).,TRUE,,
persona_020,Big Five - Neuroticism,psychographic,Low,Average,0,0.7,High openness from arts (moma.org) and academic sites (pmc.ncbi.nlm.nih.gov); high conscientiousness and extraversion from political organizing (mobilize.us) and teaching background (nea.org); high agreeableness from charity (giving.classy.org) and cause-driven sites (theoceancleanup.com).,TRUE,,
persona_021,political views,psychographic,Democrat,Democrat,1,1,"Direct evidence of visiting democrats.org, wvdemocrats.com, and using ActBlue, the primary fundraising platform for the Democratic party.",TRUE,,
persona_021,lifestyle,behavioral,Intellectually-driven and civically engaged,Active and community-oriented,0.498,0.9,"Behavior shows a mix of deep dives into academic/professional topics, engagement with high culture (moma.org, si.edu), and community involvement (volunteer.wv.gov).",TRUE,,
persona_021,defining quirks,behavioral,A polymath-like curiosity; dives deep into disparate fields like supply chain management and modern art.,Deep passion for classic rock music,0.209,0.7,"The browsing history shows an unusually broad and deep set of interests, from industrial procurement (thomasnet.com) to art (moma.org) and futurism (su.org).",TRUE,,
persona_021,Big Five - Extraversion,psychographic,Average,Average,1,0.5,"Shows signs of social engagement (eventbrite.com, volunteer.wv.gov) but the majority of browsing is solitary and intellectual, suggesting a balance.",TRUE,,
persona_021,Big Five - Neuroticism,psychographic,Low,Average,0,0.7,"The browsing history is focused and proactive, with no evidence of searches related to anxiety, stress, or personal problems.",TRUE,,
persona_022,sex,demographic,Female,Male,0,0.95,"Directly visited websites targeted at mothers, such as `www.mummy-time.com` and `mommybites.com`.",TRUE,,
persona_022,income,demographic,110000,187500,0.613,0.7,"Inferred from job searching (`zippia.com`, `glassdoor.com`) for roles in finance (`corporatefinanceinstitute.com`) while residing in Maryland, a high-income state.",TRUE,,
persona_022,class of worker,occupational,Employee of a private for-profit company or individual,"Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions",0.91,0.8,"The combination of finance industry focus (`kpmg.com`, `morningstar.com`) and standard job searching points towards employment in the private sector.",TRUE,,
persona_022,ideology,psychographic,Moderate Conservative,Moderate,0.704,0.9,"Visited `moderaterepublican.org`, while also seeking balanced news from `www.allsides.com` and `thefulcrum.us`, indicating a moderate, non-extremist viewpoint.",TRUE,,
persona_022,Big Five - Conscientiousness,psychographic,High,Average,0,0.9,"Highly organized behavior, including using resume optimizers (`atsresume.ai`), financial planning tools (`smartasset.com`), and proactive parenting resources (`theottoolbox.com`).",TRUE,,
persona_023,race,demographic,White,White,1,0.75,"Strong evidence of Irish ancestry from cultural center websites (irishcentersf.org), which is most commonly associated with the White racial category in the US.",TRUE,,
persona_023,ancestry,demographic,Irish,Irish,1,0.9,Visits to websites for the Irish Center of San Francisco (irishcentersf.org) and Irish Culture in the Bay Area (irishculturebayarea.com) indicate a strong connection to this heritage.,TRUE,,
persona_023,political views,psychographic,Democrat,Democrat,1,0.95,"Visits to explicitly Democratic party websites, such as local chapters (actondems.org) and a congressional committee (democrats-smallbusiness.house.gov).",TRUE,,
persona_023,Big Five - Neuroticism,psychographic,High,Average,0,0.6,"Visit to therapist.com suggests a proactive approach to managing stress or anxiety, which is common in demanding professional roles and high-pressure environments.",TRUE,,
persona_023,Big Five - Openness,psychographic,Extremely High,Low,0.61,0.98,"The exceptionally wide and varied range of interests, from IEEE technical papers and government policy to vintage fashion, gardening, and pop culture, demonstrates a profound curiosity and openness to experience.",TRUE,,
persona_024,race,demographic,White,White alone,0.741,0.1,No direct evidence. A low-confidence statistical assumption based on the inferred profile of a US professional living in France (`americancommunityinfrance.com`).,TRUE,,
persona_024,religion,demographic,Progressive Christian,Protestant,0.598,0.95,"Direct visits to `progressivechurches.org` and `believeoutloud.com`, which are explicitly for progressive, LGBTQ+ affirming Christian communities.",TRUE,,
persona_024,household type,demographic,"Married couple household, no children","Married couple household, no children of the householder less than 18",0.777,0.65,"`theknot.com` points to a couple. There is a complete lack of domains related to parenting, K-12 schooling, or children's products.",TRUE,,
persona_024,Big Five - Agreeableness,psychographic,High,Extremely Low,0.455,0.8,"Strong interest in pro-social and cooperative efforts, evidenced by visits to `progressivechurches.org`, `theoceancleanup.com`, and `powerforall.org`.",TRUE,,
persona_024,Big Five - Conscientiousness,psychographic,High,High,1,0.85,"Indicates diligent and organized behavior through professional development (`executive.berkeley.edu`), detailed research (`ancestry.com`), and engagement with complex technical material (`computer.org`).",TRUE,,
persona_025,ancestry,demographic,American,Hispanic,0,0.8,"Browsing is heavily focused on U.S. organizations (NAACP, CDC, Catholic Charities USA), government sites (healthcare.gov), and local U.S. community sites (archchicago.org).",TRUE,,
persona_025,household type,demographic,"Female householder, living alone","Married couple household, no children of the householder less than 18",0.524,0.5,"Inference based on the combination of inferred female sex, unmarried status, and an independent lifestyle focused on career and travel.",TRUE,,
persona_025,family presence and age,demographic,No own children of the householder under 18 years,No related children,0.545,0.9,"The browsing history lacks any domains related to parenting, childcare, or K-12 education.",TRUE,,
persona_025,health insurance,demographic,With health insurance coverage,With health insurance coverage,1,0.9,Actively researching health insurance on government marketplaces (healthcare.gov) and provider websites (uhc.com).,TRUE,,
persona_025,disability,demographic,No disability,None,0.349,0.9,"Absence of any websites related to disability benefits, accessibility tools, or specific health conditions.",TRUE,,
persona_026,employment status,occupational,Not in labor force,Not in labor force,1,0.9,"Strong indicators of retirement age, such as browsing AARP, SilverSneakers, and the National Institute on Aging.",TRUE,,
persona_026,political views,psychographic,Democrat,Democrat,1,0.85,"Direct consequence of the progressive ideology and residency in Amherst, MA, one of the most Democratic-leaning towns in the U.S.",TRUE,,
persona_026,lifestyle,behavioral,Intellectually curious and home-centric,Quiet and peaceful,0.255,0.8,"Behavior combines deep intellectual engagement (science sites, aeon.co) with home-based hobbies like gardening (morningchores.com) and reading (silentbook.club).",TRUE,,
persona_026,mannerisms,behavioral,"Methodical and inquisitive, enjoys explaining complex topics.",Speaks with a Boston accent,0.175,0.5,Inference from the behavior of a retired educator/researcher who continues to explore intellectually demanding subjects.,TRUE,,
persona_026,Big Five - Extraversion,psychographic,Low,Extremely Low,0.745,0.6,"Social activity appears limited to structured, interest-based groups (silentbook.club, meetup.com) and online worlds (secondlife.com), suggesting an introverted preference.",TRUE,,
persona_028,citizenship,demographic,Born in the United States,Born in the United States,1,0.9,"Browsing of US-specific government (.gov) sites, a state retirement system (pers.ms.gov), AARP, and the National Education Association indicates US residency and citizenship.",TRUE,,
persona_028,marital status,demographic,Widowed,Divorced,0,0.6,"The visit to safeandsolo.com, a resource for aging alone, combined with the age profile, suggests the person is single, likely due to being widowed rather than divorced or never married.",TRUE,,
persona_028,household type,demographic,"Female householder, living alone","Female householder, no spouse/partner present, living alone",0.863,0.7,"Based on the inference of being female and the visit to safeandsolo.com, which is focused on the challenges and logistics of aging by oneself.",TRUE,,
persona_028,disability,demographic,nan,None,0.305,0.6,"There is no browsing history related to specific disabilities, assistive technologies, or related benefits programs.",TRUE,,
persona_028,Big Five - Agreeableness,psychographic,High,Extremely Low,0.455,0.7,"Interest in religion, animal welfare (ifaw.org), and environmentalism (scarce.org) are often correlated with higher agreeableness, empathy, and compassion.",TRUE,,
persona_029,religion,demographic,Christian,Protestant,0,0.95,"Directly visited websites of specific churches, such as hopechurchrva.com and communitychurch.net, and related church technology platforms (subsplash.com, snappages.site).",TRUE,,
persona_029,citizenship,demographic,U.S. citizen,Born in the United States,0.615,0.6,"Browsing of U.S. federal (usda.gov, nasa.gov) and state (virginia.gov, mass.gov) government sites suggests a level of civic integration typical of a citizen, though work in international organizations allows for other possibilities.",TRUE,,
persona_029,education,demographic,Master's degree,Regular high school diploma,0.439,0.9,"Extensive browsing of academic and policy research sites (sciencedirect.com, frontiersin.org, zenodo.org) and high-level international organizations (worldbank.org, oecd.org, weforum.org) strongly implies an advanced degree is required for her profession.",TRUE,,
persona_029,disability,demographic,With a disability (related to mental health),None,0.1,0.75,"Actively researching and seeking services for anxiety, depression, and postpartum mental health issues from sites like adaa.org, psychcentral.com, and betterhelp.com.",TRUE,,
persona_029,Big Five - Neuroticism,psychographic,High,High,1,0.9,"Very strong and direct evidence from browsing multiple sites specifically for anxiety, depression, and postpartum mental health challenges (psychcentral.com, adaa.org, postpartumva.org, betterhelp.com).",TRUE,,
persona_030,citizenship,demographic,"Non-U.S. citizen, likely on a work visa or applying for residency",Born in the United States,0.525,0.95,"Extensive browsing of U.S. Citizenship and Immigration Services sites (uscis.gov, uscisguide.com, uscis.my.site.com) and the Department of Homeland Security (dhs.gov).",TRUE,,
persona_030,education,demographic,Master's degree,12th grade - no diploma,0.354,0.8,"Accessing advanced academic resources like opengeology.org, and scientific journals such as link.springer.com, mdpi.com, and frontiersin.org suggests post-graduate education in a scientific field.",TRUE,,
persona_030,health insurance,demographic,Actively seeking or has recently acquired health insurance coverage.,With health insurance coverage,0.536,0.9,"Visiting usinsuranceagents.com and medicalaid.com, which is a common step for new residents or visa holders in the U.S.",TRUE,,
persona_030,veteran status,demographic,Non-Veteran,Non-Veteran,1,0.7,Absence of any military or veteran-related domains.,TRUE,,
persona_030,disability,demographic,nan,None,0.305,0.7,"No visits to disability resource sites. The active outdoor hobby (rockhounding, outdooradventuresampler.com) also suggests no significant physical disability.",TRUE,,
persona_031,ancestry,demographic,Korean,Korean,1,0.95,"Specific visits to websites for the KORUS festival (korus.koreanassociation.org), a Korean festival in Houston (kfesthouston.com), and a Korean cooking blog (mykoreankitchen.com).",TRUE,,
persona_031,place of birth,demographic,South Korea,Korea,0.849,0.8,Strong Korean cultural ties combined with numerous visits to U.S. Citizenship and Immigration Services (uscis.gov) strongly suggest the person is an immigrant.,TRUE,,
persona_031,household type,demographic,Married-couple family,"Married couple household, no children of the householder less than 18",0.593,0.8,Based on the inference of being married. There is no evidence of children.,TRUE,,
persona_031,disability,demographic,No disability,None,0.349,0.9,"No websites related to disability services, accessibility, or specific health conditions that would indicate a disability were visited.",TRUE,,
persona_031,detailed job description,occupational,"Owner-operator of a food service business, actively pursuing continuing business education and exploring technology to improve operations, with a focus on sustainable and ethical practices.",Supervises food preparation and serving workers in a state government facility,0.44,0.85,"Synthesizes clues from restaurantowner.com, online.hbs.edu, servicechannel.com, and environmental/social justice sites into a holistic professional role.",TRUE,,
persona_033,household language,demographic,English only,English only,1,0.95,"All identifiable domains are in English, with no visits to language-learning or foreign-language sites.",TRUE,,
persona_033,ideology,psychographic,Progressive,Believes in the importance of community and helping others,0.236,0.9,"Strong and consistent interest in progressive causes such as environmentalism (conservation.org), immigrant rights (justiceforimmigrants.org), and affordable housing (affordablehousingonline.com).",TRUE,,
persona_033,personal time,behavioral,"Engages in creative hobbies, online learning, and community groups.",Spends free time volunteering at local community center or tending to her garden,0.539,0.8,"Indicated by visits to creativebug.com (crafts), bookclubs.com, and coursera.org (online courses).",TRUE,,
persona_033,defining quirks,behavioral,Deeply committed to multiple social causes simultaneously.,Passionate about local community issues,0.54,0.7,"The browsing history is not focused on one single issue but spans environment, housing, immigration, and community wellness, suggesting a broad portfolio of advocacy.",TRUE,,
persona_033,Big Five - Extraversion,psychographic,High,Low,0,0.8,"Work involves community building (mightynetworks.com), organizing events, and public speaking (impactspeakers.com), all activities typical of an extraverted individual.",TRUE,,
persona_036,marital status,demographic,Divorced,Divorced,1,0.85,"The domain `sasforwomen.com` stands for ""Since My Divorce"" and provides support for women navigating separation and divorce.",TRUE,,
persona_036,household type,demographic,"Female householder, no spouse present, with own children","Female householder, no spouse/partner present, living alone",0.869,0.6,"Inferred to be a divorced woman (`sasforwomen.com`) with an interest in educational materials for children (`classicsforkids.com`), suggesting she is a single mother.",TRUE,,
persona_036,disability,demographic,No disability,None,0.349,0.5,"Lack of any visits to disability-specific resource or support websites. This is an absence of evidence, not evidence of absence.",TRUE,,
persona_036,defining quirks,behavioral,Intense curiosity across unrelated fields like open-source tech and music education.,Passionate about music and always incorporates it into her teaching methods,0.422,0.7,"The combination of highly technical sites like `itsfoss.com` with niche educational sites like `classicsforkids.com` is unusual and suggests a broad, deep curiosity.",TRUE,,
persona_036,detailed job description,occupational,"Educator or researcher in educational technology, with a background in the arts/music, focusing on digital ethics and online learning platforms.",Teaches various subjects to secondary school students and prepares them for college,0.515,0.7,"Synthesizes interests in education (`teachers.institute`), music (`musicteacherguild.org`), technology (`itsfoss.com`, `apache.org`), and policy (`aidigitalethics.com`).",TRUE,,
persona_037,household type,demographic,Married couple household,"Cohabiting couple household, no children of the householder less than 18",0.665,0.9,"""dinksfinance.com"" implies a ""Dual Income"" household, which points directly to a married couple or cohabiting partners.",TRUE,,
persona_037,family presence and age,demographic,No related children under 18 years,No family,0.547,0.95,"The visit to ""www.dinksfinance.com"" is a very strong signal for a ""No Kids"" household.",TRUE,,
persona_037,health insurance,demographic,With health insurance coverage,With health insurance coverage,1,0.9,"Actively browsed ""www.healthcare.gov"" and ""www.cigna.com"", indicating the person is purchasing or managing their health insurance plan.",TRUE,,
persona_037,ideology,psychographic,Conservative,Conservative,1,0.9,"Visited multiple conservative/libertarian outlets including ""www.libertynation.com,"" ""republicandigest.com,"" and the ""manhattan.institute"" think tank.",TRUE,,
persona_037,Big Five - Neuroticism,psychographic,Average to High,Extremely High,0.535,0.6,"Visits to sites focused on mental health and psychology (""verywellmind.com,"" ""psychologytoday.com"") and recovery (""therecover.com"") suggest a preoccupation with or experience of stress, anxiety, or emotional challenges.",TRUE,,
persona_038,ancestry,demographic,American,European,0,0.7,"Deep engagement with local US history (revolutionarywarnewjersey.com) and local politics (njdems.org) suggests strong, multi-generational roots in the US.",TRUE,,
persona_038,place of birth,demographic,New Jersey/NJ,New Jersey/NJ,1,0.6,"Intense focus on New Jersey specific politics (njdems, oceancountydems) and history (revolutionarywarnewjersey.com) suggests the user is a long-time resident, possibly born there.",TRUE,,
persona_038,household language,demographic,English only,English only,1,0.9,"All browsed domains are in English, with no indication of multilingual content or language-learning tools.",TRUE,,
persona_038,political views,psychographic,Democrat,Democrat,1,0.98,"Direct evidence from visiting official party websites (njdems.org, oceancountydems.org) and a Democratic mobilization platform (mobilize.us).",TRUE,,
persona_038,mannerisms,behavioral,"Articulate and persuasive, likely a result of public speaking training.",Often uses hand gestures when speaking,0.321,0.75,"Inferred from visiting multiple sites dedicated to public speaking and leadership communication (toastmasters.org, thespeakerlab.com, johnmillen.com).",TRUE,,
persona_039,age,demographic,42,39,0.9,0.7,"Visits to parenting sites (momjunction, familyeducation) suggest children, while career-focused sites (police1, icma.org, columbiasouthern.edu) indicate a mid-career professional, likely in their late 30s or early 40s.",TRUE,,
persona_039,occupation category,occupational,First-Line Supervisors of Police and Detectives,PRT-Police Officers,0.582,0.9,"Combination of police-specific sites (police1) with management/policy sites (icma.org, powerdms.com, rightoncrime.com) suggests a leadership or supervisory role, not a rank-and-file officer.",TRUE,,
persona_039,health insurance,demographic,With health insurance coverage,With health insurance coverage,1,0.9,Direct visits to healthcare.gov and surveys.cms.gov indicate active engagement with the U.S. health insurance system.,TRUE,,
persona_039,political views,psychographic,Republican,Republican,1,0.7,"Browsing republicanviews.org is a direct indicator of interest in the Republican party platform, which aligns with the inferred conservative ideology.",TRUE,,
